# data from Gutjahr et al. 2017, Case where C-org burial increases during the recovery
Time_WRT_CIE,DIC,pH
-25.40,1.78E-03,7.73E+00
-25.30,1.78E-03,7.73E+00
-25.20,1.78E-03,7.73E+00
-25.10,1.78E-03,7.73E+00
-25.00,1.78E-03,7.73E+00
-24.90,1.78E-03,7.73E+00
-24.80,1.78E-03,7.73E+00
-24.70,1.78E-03,7.73E+00
-24.60,1.78E-03,7.73E+00
-24.50,1.78E-03,7.73E+00
-24.40,1.78E-03,7.73E+00
-24.30,1.78E-03,7.73E+00
-24.20,1.78E-03,7.73E+00
-24.10,1.78E-03,7.73E+00
-24.00,1.78E-03,7.73E+00
-23.90,1.78E-03,7.73E+00
-23.80,1.78E-03,7.73E+00
-23.70,1.78E-03,7.73E+00
-23.60,1.78E-03,7.73E+00
-23.50,1.78E-03,7.73E+00
-23.40,1.78E-03,7.73E+00
-23.30,1.78E-03,7.73E+00
-23.20,1.78E-03,7.73E+00
-23.10,1.78E-03,7.73E+00
-23.00,1.79E-03,7.73E+00
-22.90,1.79E-03,7.73E+00
-22.80,1.79E-03,7.73E+00
-22.70,1.79E-03,7.73E+00
-22.60,1.79E-03,7.73E+00
-22.50,1.79E-03,7.73E+00
-22.40,1.79E-03,7.73E+00
-22.30,1.79E-03,7.73E+00
-22.20,1.79E-03,7.73E+00
-22.10,1.79E-03,7.73E+00
-22.00,1.79E-03,7.73E+00
-21.90,1.79E-03,7.73E+00
-21.80,1.79E-03,7.73E+00
-21.70,1.79E-03,7.73E+00
-21.60,1.79E-03,7.73E+00
-21.50,1.79E-03,7.73E+00
-21.40,1.79E-03,7.73E+00
-21.30,1.79E-03,7.73E+00
-21.20,1.79E-03,7.73E+00
-21.10,1.79E-03,7.73E+00
-21.00,1.79E-03,7.73E+00
-20.90,1.79E-03,7.73E+00
-20.80,1.79E-03,7.73E+00
-20.70,1.79E-03,7.73E+00
-20.60,1.79E-03,7.73E+00
-20.50,1.79E-03,7.73E+00
-20.40,1.79E-03,7.73E+00
-20.30,1.79E-03,7.73E+00
-20.20,1.79E-03,7.73E+00
-20.10,1.79E-03,7.73E+00
-20.00,1.79E-03,7.73E+00
-19.90,1.79E-03,7.73E+00
-19.80,1.79E-03,7.73E+00
-19.70,1.79E-03,7.73E+00
-19.60,1.79E-03,7.73E+00
-19.50,1.79E-03,7.73E+00
-19.40,1.79E-03,7.73E+00
-19.30,1.79E-03,7.73E+00
-19.20,1.79E-03,7.73E+00
-19.10,1.79E-03,7.73E+00
-19.00,1.79E-03,7.73E+00
-18.90,1.79E-03,7.73E+00
-18.80,1.79E-03,7.73E+00
-18.70,1.79E-03,7.73E+00
-18.60,1.79E-03,7.73E+00
-18.50,1.79E-03,7.73E+00
-18.40,1.79E-03,7.73E+00
-18.30,1.79E-03,7.73E+00
-18.20,1.79E-03,7.73E+00
-18.10,1.79E-03,7.73E+00
-18.00,1.79E-03,7.73E+00
